DATE,LTOTALNSA
1/1/1976,864.6
2/1/1976,973.3
3/1/1976,1216.1
4/1/1976,1163.2
5/1/1976,1176.1
6/1/1976,1224.9
7/1/1976,1130.1
8/1/1976,994.9
9/1/1976,1024.9
10/1/1976,1103.7
11/1/1976,1062
12/1/1976,1036
1/1/1977,945
2/1/1977,1065.4
3/1/1977,1414
4/1/1977,1320.3
5/1/1977,1344.7
6/1/1977,1424.5
7/1/1977,1171.3
8/1/1977,1201.2
9/1/1977,1073.8
10/1/1977,1306.5
11/1/1977,1154.1
12/1/1977,1061.1
1/1/1978,906.2
2/1/1978,1043.2
3/1/1978,1436.5
4/1/1978,1368.4
5/1/1978,1516.6
6/1/1978,1505.5
7/1/1978,1248.7
8/1/1978,1283.9
9/1/1978,1067.4
10/1/1978,1356.5
11/1/1978,1216.6
12/1/1978,1031.5
1/1/1979,1046.3
2/1/1979,1115.3
3/1/1979,1441.9
4/1/1979,1266.4
5/1/1979,1337.1
6/1/1979,1149.8
7/1/1979,1127.6
8/1/1979,1176.2
9/1/1979,1002.6
10/1/1979,1163.3
11/1/1979,994.5
12/1/1979,937.4
1/1/1980,1017.8
2/1/1980,1015.5
3/1/1980,1116.1
4/1/1980,924.5
5/1/1980,873.8
6/1/1980,909.5
7/1/1980,979.4
8/1/1980,859.1
9/1/1980,823.5
10/1/1980,1019.3
11/1/1980,855
12/1/1980,804
1/1/1981,795.4
2/1/1981,932.3
3/1/1981,1156.9
4/1/1981,937.5
5/1/1981,914.7
6/1/1981,924.2
7/1/1981,875.4
8/1/1981,990.1
9/1/1981,846.6
10/1/1981,803.7
11/1/1981,730.3
12/1/1981,656.5
1/1/1982,698.4
2/1/1982,826.3
3/1/1982,1039.4
4/1/1982,858.3
5/1/1982,1003.2
6/1/1982,851.3
7/1/1982,810.9
8/1/1982,779.9
9/1/1982,876.4
10/1/1982,827.5
11/1/1982,961
12/1/1982,824.7
1/1/1983,775.8
2/1/1983,809.8
3/1/1983,1084.6
4/1/1983,997.1
5/1/1983,1096
6/1/1983,1189.5
7/1/1983,1034.9
8/1/1983,976.4
9/1/1983,963.7
10/1/1983,1108.7
11/1/1983,1035.6
12/1/1983,1035
1/1/1984,1041
2/1/1984,1140.3
3/1/1984,1329.7
4/1/1984,1222.1
5/1/1984,1426.5
6/1/1984,1290.7
7/1/1984,1210.2
8/1/1984,1106.6
9/1/1984,1028.9
10/1/1984,1240.2
11/1/1984,1118.7
12/1/1984,1050.2
1/1/1985,1174
2/1/1985,1190.3
3/1/1985,1364.2
4/1/1985,1352.9
5/1/1985,1472.9
6/1/1985,1307.2
7/1/1985,1312.6
8/1/1985,1323
9/1/1985,1438.7
10/1/1985,1217
11/1/1985,1101
12/1/1985,1171.3
1/1/1986,1193
2/1/1986,1164.8
3/1/1986,1274.5
4/1/1986,1364.8
5/1/1986,1507.1
6/1/1986,1401.2
7/1/1986,1354
8/1/1986,1322.5
9/1/1986,1710.5
10/1/1986,1245.9
11/1/1986,1100.6
12/1/1986,1405.4
1/1/1987,899.8
2/1/1987,1128.6
3/1/1987,1356.9
4/1/1987,1358.2
5/1/1987,1273.8
6/1/1987,1394.5
7/1/1987,1330.9
8/1/1987,1376.4
9/1/1987,1275.6
10/1/1987,1168.3
11/1/1987,1088.1
12/1/1987,1224
1/1/1988,1100.9
2/1/1988,1282.9
3/1/1988,1474.2
4/1/1988,1303
5/1/1988,1426.5
6/1/1988,1453.4
7/1/1988,1274.7
8/1/1988,1290.7
9/1/1988,1195.4
10/1/1988,1219.7
11/1/1988,1165.2
12/1/1988,1256.6
1/1/1989,1058.8
2/1/1989,1104.1
3/1/1989,1309.9
4/1/1989,1326.1
5/1/1989,1409.7
6/1/1989,1300.5
7/1/1989,1252.2
8/1/1989,1415
9/1/1989,1239.6
10/1/1989,1089.7
11/1/1989,1025.9
12/1/1989,989.2
1/1/1990,1139.5
2/1/1990,1052
3/1/1990,1269.9
4/1/1990,1201.5
5/1/1990,1307.5
6/1/1990,1281.4
7/1/1990,1218.3
8/1/1990,1173.4
9/1/1990,1123
10/1/1990,1145.1
11/1/1990,982.2
12/1/1990,965.9
1/1/1991,822.2
2/1/1991,910.6
3/1/1991,1083
4/1/1991,1039.6
5/1/1991,1155
6/1/1991,1156.7
7/1/1991,1164.2
8/1/1991,1045.5
9/1/1991,1044.4
10/1/1991,1029.5
11/1/1991,917.3
12/1/1991,941.4
1/1/1992,851.1
2/1/1992,971.7
3/1/1992,1108.2
4/1/1992,1121.9
5/1/1992,1149.9
6/1/1992,1275.1
7/1/1992,1135.7
8/1/1992,1044.7
9/1/1992,1073.6
10/1/1992,1107.4
11/1/1992,970.3
12/1/1992,1047.7
1/1/1993,897.2
2/1/1993,956.5
3/1/1993,1202.7
4/1/1993,1245.8
5/1/1993,1316.5
6/1/1993,1353.8
7/1/1993,1240.5
8/1/1993,1133.4
9/1/1993,1138.5
10/1/1993,1157
11/1/1993,1115.9
12/1/1993,1124.9
1/1/1994,1021.9
2/1/1994,1147.2
3/1/1994,1442
4/1/1994,1307.4
5/1/1994,1354
6/1/1994,1445.7
7/1/1994,1190.7
8/1/1994,1297.1
9/1/1994,1222.3
10/1/1994,1260.5
11/1/1994,1169.2
12/1/1994,1186.9
1/1/1995,1001
2/1/1995,1099.1
3/1/1995,1366.6
4/1/1995,1181.3
5/1/1995,1392.2
6/1/1995,1439.6
7/1/1995,1224.9
8/1/1995,1333.7
9/1/1995,1184.3
10/1/1995,1193
11/1/1995,1141.6
12/1/1995,1171.1
1/1/1996,1024.1
2/1/1996,1209.2
3/1/1996,1372.5
4/1/1996,1326.4
